model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,n_indicators,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3356948084435101,,,not_available,0.3950999999999998,-0.05940519155648971,True,True,0,,,,,,,13,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,,,not_available,0.3950999999999998,-0.3950999999999998,True,True,0,,,,,,,13,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.26328560705155235,,,not_available,0.3950999999999998,-0.13181439294844743,True,True,0,,,,,,,13,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,-5.913731381630731,,,not_available,0.3950999999999998,-6.30883138163073,True,True,0,,,,,,,13,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,-0.03102916277679113,0.3334696412995015,0.5774683032855583,model_implied_state_space,0.3950999999999998,-0.4261291627767909,True,False,100,-2847.5333198164153,-3753.6819855982853,-2847.5333198164153,0.7115317784187027,0.00024972644173435306,101.0,13,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.13413726161412365,,,not_available,0.3950999999999998,-0.26096273838587614,True,True,0,,,,,,,13,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.13413726161412365,,,not_available,0.3950999999999998,-0.26096273838587614,True,True,0,,,,,,,13,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.052329167439188584,0.4290643441209028,0.6550300329915436,model_implied_state_space,0.3950999999999998,-0.3427708325608112,True,True,32,-917.6829373739922,-1763.7892868605556,-917.6829373739922,0.08857294968174756,9.640367456599106e-05,32.0,13,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,0.44931009023919977,0.6703059676291118,model_implied_state_space,0.3950999999999998,-0.3950999999999998,True,True,41,-1687.5914992509581,-2601.9389575226114,-1687.5914992509581,0.16437172482369533,9.733302939087313e-05,41.0,13,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.24570508274378877,0.42580673171181793,0.6525386821574779,model_implied_state_space,0.3950999999999998,-0.149394917256211,True,True,37,-1656.4458670540416,-2614.3997397592493,-1656.4458670540416,0.1653447752462398,9.974882775061016e-05,37.0,13,,0.0
