series_id,canonical_indicator_id,source_family,series_frequency,provenance_observations_file,provenance_vintage_dates_file,release_block_candidate,release_block_mapping_status,calendar_support_type,indicator_family,observed_observation_start,observed_observation_end,observed_realtime_start,observed_realtime_end,notes
A191RL1Q225SBEA,indicator_a191rl1q225sbea,ALFRED,quarterly,data/raw/alfred/series_observations/A191RL1Q225SBEA.csv,data/raw/alfred/vintage_dates/A191RL1Q225SBEA.csv,gdp,mapped_official_with_coverage_limits,official_calendar_supported_with_coverage_limits,gdp_reference,1947-04-01,2025-10-01,2014-09-26,9999-12-31,"Official timing support exists through BEA calendar artifacts, but the current repo stores snapshot-style coverage rather than a completed historical archive."
AWHMAN,indicator_awhman,ALFRED,monthly,data/raw/alfred/series_observations/AWHMAN.csv,data/raw/alfred/vintage_dates/AWHMAN.csv,employment_situation,mapped_official_with_coverage_limits,official_calendar_supported_with_coverage_limits,labor_market,1932-01-01,2026-03-01,1961-11-03,9999-12-31,"Mapped to the Employment Situation block conservatively; official BLS timing support exists in the repo, but historical archive coverage is not yet complete."
BOPGSTB,indicator_bopgstb,ALFRED,monthly,data/raw/alfred/series_observations/BOPGSTB.csv,data/raw/alfred/vintage_dates/BOPGSTB.csv,trade,mapped_proxy,proxy_supported,trade,1992-01-01,2026-02-01,1997-01-17,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
BOPTEXP,indicator_boptexp,ALFRED,monthly,data/raw/alfred/series_observations/BOPTEXP.csv,data/raw/alfred/vintage_dates/BOPTEXP.csv,trade,mapped_proxy,proxy_supported,trade,1992-01-01,2026-02-01,2010-04-13,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
BOPTIMP,indicator_boptimp,ALFRED,monthly,data/raw/alfred/series_observations/BOPTIMP.csv,data/raw/alfred/vintage_dates/BOPTIMP.csv,trade,mapped_proxy,proxy_supported,trade,1992-01-01,2026-02-01,2010-04-13,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
BUSINV,indicator_businv,ALFRED,monthly,data/raw/alfred/series_observations/BUSINV.csv,data/raw/alfred/vintage_dates/BUSINV.csv,inventories,mapped_proxy,proxy_supported,inventories,1980-12-01,2026-02-01,1996-11-15,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
DGORDER,indicator_dgorder,ALFRED,monthly,data/raw/alfred/series_observations/DGORDER.csv,data/raw/alfred/vintage_dates/DGORDER.csv,durable_goods,mapped_proxy,proxy_supported,orders,1958-02-01,2026-02-01,1999-08-04,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
DSPIC96,indicator_dspic96,ALFRED,monthly,data/raw/alfred/series_observations/DSPIC96.csv,data/raw/alfred/vintage_dates/DSPIC96.csv,personal_income_outlays,mapped_official_with_coverage_limits,official_calendar_supported_with_coverage_limits,income_and_consumption,1959-01-01,2026-02-01,1979-12-18,9999-12-31,"Mapped conservatively to the BEA personal income and outlays block; official timing support exists, but current coverage is snapshot-style."
FEDFUNDS,indicator_fedfunds,ALFRED,monthly,data/raw/alfred/series_observations/FEDFUNDS.csv,data/raw/alfred/vintage_dates/FEDFUNDS.csv,currently_unmapped,currently_unmapped,currently_unmapped,financial_rates,1954-07-01,2026-03-01,1996-12-03,9999-12-31,No defensible release-calendar mapping is encoded in the current repo for this indicator. Stage 3 must not force a release-event join for this series without expanding the timing-source layer first.
GDPC1,indicator_gdpc1,ALFRED,quarterly,data/raw/alfred/series_observations/GDPC1.csv,data/raw/alfred/vintage_dates/GDPC1.csv,gdp,mapped_official_with_coverage_limits,official_calendar_supported_with_coverage_limits,gdp_reference,1947-01-01,2025-10-01,1991-12-04,9999-12-31,"Official timing support exists through BEA calendar artifacts, but the current repo stores snapshot-style coverage rather than a completed historical archive."
GS10,indicator_gs10,ALFRED,monthly,data/raw/alfred/series_observations/GS10.csv,data/raw/alfred/vintage_dates/GS10.csv,currently_unmapped,currently_unmapped,currently_unmapped,financial_rates,1953-04-01,2026-03-01,1996-12-03,9999-12-31,No defensible release-calendar mapping is encoded in the current repo for this indicator. Stage 3 must not force a release-event join for this series without expanding the timing-source layer first.
HOUST,indicator_houst,ALFRED,monthly,data/raw/alfred/series_observations/HOUST.csv,data/raw/alfred/vintage_dates/HOUST.csv,housing,mapped_proxy,proxy_supported,housing,1959-01-01,2026-01-01,1960-07-21,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
INDPRO,indicator_indpro,ALFRED,monthly,data/raw/alfred/series_observations/INDPRO.csv,data/raw/alfred/vintage_dates/INDPRO.csv,industrial_production_capacity_utilization,mapped_official_date_only,official_calendar_supported_date_only,industrial_activity,1919-01-01,2026-03-01,1927-01-26,9999-12-31,"Official G.17 release dates are available historically, but the source does not publish official intraday release times in the current repo artifacts."
ISRATIO,indicator_isratio,ALFRED,monthly,data/raw/alfred/series_observations/ISRATIO.csv,data/raw/alfred/vintage_dates/ISRATIO.csv,inventories,mapped_proxy,proxy_supported,inventories,1948-01-01,2026-02-01,1997-03-14,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
NEWORDER,indicator_neworder,ALFRED,monthly,data/raw/alfred/series_observations/NEWORDER.csv,data/raw/alfred/vintage_dates/NEWORDER.csv,durable_goods,mapped_proxy,proxy_supported,orders,1968-02-01,2026-02-01,1997-03-06,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
PAYEMS,indicator_payems,ALFRED,monthly,data/raw/alfred/series_observations/PAYEMS.csv,data/raw/alfred/vintage_dates/PAYEMS.csv,employment_situation,mapped_official_with_coverage_limits,official_calendar_supported_with_coverage_limits,labor_market,1939-01-01,2026-03-01,1955-05-06,9999-12-31,"Official BLS timing support exists, but the current repo calendar coverage is still snapshot/scheduled-page based rather than a completed historical archive."
PCECC96,indicator_pcecc96,ALFRED,monthly,data/raw/alfred/series_observations/PCECC96.csv,data/raw/alfred/vintage_dates/PCECC96.csv,personal_income_outlays,mapped_official_with_coverage_limits,official_calendar_supported_with_coverage_limits,income_and_consumption,1947-01-01,2025-10-01,1958-12-21,9999-12-31,"Mapped conservatively to the BEA personal income and outlays block; official timing support exists, but current coverage is snapshot-style."
PERMIT,indicator_permit,ALFRED,monthly,data/raw/alfred/series_observations/PERMIT.csv,data/raw/alfred/vintage_dates/PERMIT.csv,housing,mapped_proxy,proxy_supported,housing,1960-01-01,2026-01-01,1999-08-17,9999-12-31,Timing support is day-level proxy availability only and must never be treated as official Census release timestamp truth.
