model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,n_indicators,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3356948084435101,,,not_available,0.3950999999999998,-0.05940519155648971,True,True,0,,,,,,,13,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,,,not_available,0.3950999999999998,-0.3950999999999998,True,True,0,,,,,,,13,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.26328560705155324,,,not_available,0.3950999999999998,-0.13181439294844655,True,True,0,,,,,,,13,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,-5.913731381635026,,,not_available,0.3950999999999998,-6.308831381635025,True,True,0,,,,,,,13,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.028864653759552272,0.3231920605419054,0.5684998333701651,model_implied_state_space,0.3950999999999998,-0.3662353462404475,True,True,69,-2880.070283328214,-3648.828755686391,-2880.070283328214,0.2660082914085251,9.232115396672413e-05,69.0,13,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.1341372616141232,,,not_available,0.3950999999999998,-0.2609627383858766,True,True,0,,,,,,,13,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.1341372616141232,,,not_available,0.3950999999999998,-0.2609627383858766,True,True,0,,,,,,,13,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.05378408714340788,0.39009271442297155,0.6245740263755543,model_implied_state_space,0.3950999999999998,-0.3413159128565919,True,True,31,-973.2114726503162,-1662.4073345730442,-973.2114726503162,0.09045391189783913,9.283971367787622e-05,31.0,13,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,0.4413837941605365,0.664367213339533,model_implied_state_space,0.3950999999999998,-0.3950999999999998,True,True,26,-1739.1501009134845,-2505.9405164391596,-1739.1501009134845,0.16408933230604816,9.428718861556445e-05,26.0,13,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.18844576184808481,0.37284194957107886,0.6106078525298204,model_implied_state_space,0.3950999999999998,-0.20665423815191497,True,True,29,-1705.067720581706,-2515.777266403571,-1705.067720581706,0.1540410904772216,9.028198674845969e-05,29.0,13,,0.0
